Year,MthAndYrCode,Trust,New_Hospital,Type,FourAndUnder_sum,FiveToTwelve_sum,OverTwelve_sum,Total_sum
2017/18,18-Mar,Northern,Antrim Area,Type 1,"4,369.00","2,624.00",365,7358.00
2017/18,18-Mar,Northern,Causeway,Type 1,"2,616.00","1,141.00",198,3955.00
2017/18,18-Mar,Northern,Mid-Ulster,Type 3,869,0,0,869.00
2017/18,18-Mar,South Eastern,Ards MIU,Type 3,"1,001.00",0,0,1001.00
2017/18,18-Mar,South Eastern,Bangor MIU,Type 3,803,0,0,803.00
2017/18,18-Mar,South Eastern,Downe,Type 2,"1,743.00",198,65,2006.00
2017/18,18-Mar,South Eastern,Lagan Valley,Type 2,"1,708.00",480,57,2245.00
2017/18,18-Mar,South Eastern,Ulster,Type 1,"4,557.00","2,823.00",726,8106.00
2017/18,18-Mar,Southern,Craigavon Area,Type 1,"3,967.00","2,902.00",538,7407.00
2017/18,18-Mar,Southern,Daisy Hill,Type 1,"3,139.00","1,450.00",146,4735.00
2017/18,18-Mar,Southern,South Tyrone,Type 3,"2,597.00",1,0,2598.00
2017/18,18-Mar,Western,Altnagelvin Area,Type 1,"3,820.00","1,838.00",140,5798.00
2017/18,18-Mar,Western,South West Acute,Type 1,"1,809.00","1,151.00",149,3109.00
2017/18,18-Mar,Western,Tyrone County,Type 3,"1,427.00",34,0,1461.00
2018/19,18-Apr,Belfast,Mater,Type 1,"2,727.00","1,127.00",120,3974.00
2018/19,18-Apr,Belfast,Royal Victoria,Type 1,"4,429.00","3,120.00",174,7723.00
2018/19,18-Apr,Belfast,RBHSC,Type 1,"2,564.00",636,0,3200.00
2018/19,18-Apr,Belfast,Royal Victoria (RAES),Type 2,"1,164.00",203,2,1369.00
2018/19,18-Apr,Northern,Antrim Area,Type 1,"4,449.00","2,130.00",269,6848.00
2018/19,18-Apr,Northern,Causeway,Type 1,"2,881.00",953,63,3897.00
2018/19,18-Apr,Northern,Mid-Ulster,Type 3,875,0,0,875.00
2018/19,18-Apr,South Eastern,Ards MIU,Type 3,"1,006.00",0,0,1006.00
2018/19,18-Apr,South Eastern,Bangor MIU,Type 3,900,0,0,900.00
2018/19,18-Apr,South Eastern,Downe,Type 2,"1,701.00",126,6,1833.00
2018/19,18-Apr,South Eastern,Lagan Valley,Type 2,"1,681.00",341,20,2042.00
2018/19,18-Apr,South Eastern,Ulster,Type 1,"4,799.00","2,464.00",436,7699.00
2018/19,18-Apr,Southern,Craigavon Area,Type 1,"4,456.00","2,551.00",166,7173.00
2018/19,18-Apr,Southern,Daisy Hill,Type 1,"3,501.00","1,205.00",71,4777.00
2018/19,18-Apr,Southern,South Tyrone,Type 3,"2,936.00",0,0,2936.00
2018/19,18-Apr,Western,Altnagelvin Area,Type 1,"3,754.00","1,634.00",45,5433.00
2018/19,18-Apr,Western,South West Acute,Type 1,"2,006.00",882,38,2926.00
2018/19,18-Apr,Western,Tyrone County,Type 3,"1,531.00",26,0,1557.00
2018/19,18-May,Belfast,Mater,Type 1,"2,975.00","1,192.00",92,4259.00
2018/19,18-May,Belfast,Royal Victoria,Type 1,"4,788.00","3,184.00",155,8127.00
2018/19,18-May,Belfast,RBHSC,Type 1,"2,868.00",785,0,3653.00
2018/19,18-May,Belfast,Royal Victoria (RAES),Type 2,"1,145.00",294,3,1442.00
2018/19,18-May,Northern,Antrim Area,Type 1,"5,241.00","2,272.00",137,7650.00
2018/19,18-May,Northern,Causeway,Type 1,"3,072.00","1,224.00",36,4332.00
2018/19,18-May,Northern,Mid-Ulster,Type 3,991,0,0,991.00
2018/19,18-May,South Eastern,Ards MIU,Type 3,"1,098.00",0,0,1098.00
2018/19,18-May,South Eastern,Bangor MIU,Type 3,970,0,0,970.00
2018/19,18-May,South Eastern,Downe,Type 2,"1,955.00",145,14,2114.00
2018/19,18-May,South Eastern,Lagan Valley,Type 2,"2,016.00",292,0,2308.00
2018/19,18-May,South Eastern,Ulster,Type 1,"5,298.00","2,625.00",450,8373.00
2018/19,18-May,Southern,Craigavon Area,Type 1,"4,817.00","2,687.00",208,7712.00
2018/19,18-May,Southern,Daisy Hill,Type 1,"3,718.00","1,372.00",32,5122.00
2018/19,18-May,Southern,South Tyrone,Type 3,"3,329.00",1,0,3330.00
2018/19,18-May,Western,Altnagelvin Area,Type 1,"4,648.00","1,313.00",12,5973.00
2018/19,18-May,Western,South West Acute,Type 1,"2,320.00",860,17,3197.00
2018/19,18-May,Western,Tyrone County,Type 3,"1,817.00",26,0,1843.00
2018/19,18-Jun,Belfast,Mater,Type 1,"2,968.00","1,002.00",59,4029.00
2018/19,18-Jun,Belfast,Royal Victoria,Type 1,"4,708.00","2,997.00",107,7812.00
2018/19,18-Jun,Belfast,RBHSC,Type 1,"2,704.00",504,0,3208.00
2018/19,18-Jun,Belfast,Royal Victoria (RAES),Type 2,997,460,0,1457.00
2018/19,18-Jun,Northern,Antrim Area,Type 1,"4,761.00","2,353.00",165,7279.00
2018/19,18-Jun,Northern,Causeway,Type 1,"2,915.00",967,127,4009.00
2018/19,18-Jun,Northern,Mid-Ulster,Type 3,943,1,0,944.00
2018/19,18-Jun,South Eastern,Ards MIU,Type 3,"1,131.00",0,0,1131.00
2018/19,18-Jun,South Eastern,Bangor MIU,Type 3,"1,011.00",0,0,1011.00
2018/19,18-Jun,South Eastern,Downe,Type 2,"1,889.00",124,1,2014.00
2018/19,18-Jun,South Eastern,Lagan Valley,Type 2,"1,915.00",327,0,2242.00
2018/19,18-Jun,South Eastern,Ulster,Type 1,"5,104.00","2,524.00",550,8178.00
2018/19,18-Jun,Southern,Craigavon Area,Type 1,"4,459.00","2,738.00",268,7465.00
2018/19,18-Jun,Southern,Daisy Hill,Type 1,"3,736.00","1,340.00",18,5094.00
2018/19,18-Jun,Southern,South Tyrone,Type 3,"3,389.00",0,0,3389.00
2018/19,18-Jun,Western,Altnagelvin Area,Type 1,"4,394.00","1,287.00",36,5717.00
2018/19,18-Jun,Western,South West Acute,Type 1,"2,130.00",967,27,3124.00
2018/19,18-Jun,Western,Tyrone County,Type 3,"1,667.00",30,0,1697.00
